"","pert_iname","mean","n","median","sd","sRGES"
"1209","BRD-K37849751",-0.352899631764801,1,-0.352899631764801,NA,-0.352899631764801
"1210","BRD-K00611064",-0.352852196434967,1,-0.352852196434967,NA,-0.352852196434967
"1211","BRD-A54632525",-0.352843848709667,8,-0.381018873934676,0.154532308389843,-0.352843848709667
"1212","BRD-K77517292",-0.352811876379795,2,-0.352811876379795,0.122419966735125,-0.352811876379795
"1213","BRD-K93112400",-0.352742212900233,2,-0.352742212900233,0.0516268762153992,-0.352742212900233
"1214","BRD-K07531476",-0.352545356306236,1,-0.352545356306236,NA,-0.352545356306236
"1215","merck-ketone",-0.352465755473793,12,-0.338110538383615,0.0636490050564665,-0.352465755473793
"1216","BRD-K00248931",-0.35228093293731,1,-0.35228093293731,NA,-0.35228093293731
"1217","BRD-K14262667",-0.35218743721474,1,-0.35218743721474,NA,-0.35218743721474
"1218","BRD-K93672121",-0.352169563032483,1,-0.352169563032483,NA,-0.352169563032483
"1219","BRD-K09333299",-0.351951406346485,1,-0.351951406346485,NA,-0.351951406346485
"1220","BRD-K56950264",-0.351927115791111,1,-0.351927115791111,NA,-0.351927115791111
"1221","BRD-K71353148",-0.351879451305095,1,-0.351879451305095,NA,-0.351879451305095
"1222","BRD-K13307254",-0.351687876736298,1,-0.351687876736298,NA,-0.351687876736298
"1223","BRD-K99395085",-0.35152401863262,2,-0.35152401863262,0.165519420741196,-0.35152401863262
"1224","BRD-K28452359",-0.351523800909434,1,-0.351523800909434,NA,-0.351523800909434
"1225","BRD-K92317137",-0.351406964219537,79,-0.390212189458999,0.118497918075455,-0.351406964219537
"1226","BRD-K92313046",-0.351287770041179,1,-0.351287770041179,NA,-0.351287770041179
"1227","cucurbitacin-i",-0.351282644182411,98,-0.351830820406633,0.145891690330357,-0.351282644182411
"1228","BRD-K66115910",-0.351123694214315,1,-0.351123694214315,NA,-0.351123694214315
"1229","BRD-K79826210",-0.351072609721936,6,-0.399873171076502,0.186828197314842,-0.351072609721936
"1230","BRD-K81654062",-0.350982992318094,1,-0.350982992318094,NA,-0.350982992318094
"1231","BRD-K18144986",-0.350892017313533,1,-0.350892017313533,NA,-0.350892017313533
"1232","BRD-K70125131",-0.350838623922948,1,-0.350838623922948,NA,-0.350838623922948
"1233","BRD-K30633722",-0.350780563401315,3,-0.432612091120157,0.142555555680419,-0.350780563401315
"1234","ryuvidine",-0.35077132587502,21,-0.397260089232409,0.133821621382625,-0.35077132587502
"1235","BRD-K49939055",-0.350761169133171,1,-0.350761169133171,NA,-0.350761169133171
"1236","SA-3676",-0.35062537844683,10,-0.367511606475495,0.102982074330961,-0.35062537844683
"1237","BRD-K34174785",-0.350620417449235,1,-0.350620417449235,NA,-0.350620417449235
"1238","BRD-K65568947",-0.350541637510076,1,-0.350541637510076,NA,-0.350541637510076
"1239","SA-1973497",-0.350527545447256,17,-0.37897785738635,0.177033008688045,-0.350527545447256
"1240","BRD-K84121492",-0.350325291207548,1,-0.350325291207548,NA,-0.350325291207548
"1241","purvalanol-a",-0.350257123549831,14,-0.386831663558805,0.134512008273441,-0.350257123549831
"1242","BRD-K01594626",-0.350207986107961,2,-0.350207986107961,0.20000985011577,-0.350207986107961
"1243","BRD-K30228236",-0.350168788967711,2,-0.350168788967711,0.0616589661098908,-0.350168788967711
"1244","BRD-K19898724",-0.350011370103143,1,-0.350011370103143,NA,-0.350011370103143
"1245","BRD-K39132590",-0.349861960271976,1,-0.349861960271976,NA,-0.349861960271976
"1246","BRD-K55437057",-0.349653187556476,2,-0.349653187556476,0.027557767917688,-0.349653187556476
"1247","BRD-K87920375",-0.349568174423666,3,-0.263075014108097,0.178771526728664,-0.349568174423666
"1248","BRD-K75234292",-0.349464984191798,1,-0.349464984191798,NA,-0.349464984191798
"1249","BRD-K09076022",-0.349381190600522,1,-0.349381190600522,NA,-0.349381190600522
"1250","bimatoprost",-0.349275715076781,2,-0.349275715076781,0.00908710456160066,-0.349275715076781
"1251","BRD-K67485291",-0.349255154699998,1,-0.349255154699998,NA,-0.349255154699998
"1252","sertindole",-0.349135170581999,3,-0.390610462904656,0.093150284901042,-0.349135170581999
"1253","DG-041",-0.349068800929737,41,-0.353969278120351,0.155222607693362,-0.349068800929737
"1254","BRD-K56945204",-0.348959084911857,1,-0.348959084911857,NA,-0.348959084911857
"1255","BRD-K47163377",-0.348828901334051,1,-0.348828901334051,NA,-0.348828901334051
"1256","BRD-K89079417",-0.348820216265098,1,-0.348820216265098,NA,-0.348820216265098
"1257","BRD-K94789179",-0.348811966642518,1,-0.348811966642518,NA,-0.348811966642518
"1258","BRD-K86569253",-0.348694180364574,1,-0.348694180364574,NA,-0.348694180364574
"1259","BRD-K80822897",-0.348542049235646,7,-0.35841676909948,0.0654177451938573,-0.348542049235646
"1260","BRD-K58869442",-0.348453566372664,1,-0.348453566372664,NA,-0.348453566372664
"1261","BRD-K97217923",-0.348374278333425,1,-0.348374278333425,NA,-0.348374278333425
"1262","BRD-A37735495",-0.348262671775366,11,-0.366569659986214,0.0802027118117613,-0.348262671775366
"1263","BRD-K91701366",-0.348260387710587,3,-0.381681442030686,0.0798921757722155,-0.348260387710587
"1264","BRD-K38596298",-0.348228076688817,1,-0.348228076688817,NA,-0.348228076688817
"1265","SA-1462738",-0.348227524545007,4,-0.363195591703903,0.108434190798012,-0.348227524545007
